# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-278.47177330	-0.00302093
-278.43841689	-0.00313430
-278.40506048	-0.00266330
-278.37170407	-0.00275003
-278.33834766	-0.00295908
-278.30499125	-0.00242092
-278.27163484	-0.00364731
-278.23827843	-0.00200903
-278.20492202	-0.00315820
-278.17156561	-0.00324293
-278.13820920	-0.00283463
-278.10485279	-0.00273762
-278.07149638	-0.00253047
-278.03813997	-0.00250588
-278.00478356	-0.00445097
-277.97142715	-0.00334882
-277.93807074	-0.00219309
-277.90471433	-0.00199747
-277.87135792	-0.00182701
-277.83800152	-0.00259764
-277.80464511	-0.00271819
-277.77128870	-0.00219577
-277.73793229	-0.00342854
-277.70457588	-0.00258670
-277.67121947	-0.00327846
-277.63786306	-0.00207823
-277.60450665	-0.00296028
-277.57115024	-0.00328476
-277.53779383	-0.00211793
-277.50443742	-0.00236881
-277.47108101	-0.00222395
-277.43772460	-0.00256519
-277.40436819	-0.00277100
-277.37101178	-0.00145461
-277.33765537	-0.00329770
-277.30429896	-0.00187356
-277.27094255	-0.00354957
-277.23758614	-0.00233874
-277.20422973	-0.00313682
-277.17087332	-0.00282186
-277.13751692	-0.00263604
-277.10416051	-0.00287025
-277.07080410	-0.00197091
-277.03744769	-0.00285692
-277.00409128	-0.00252015
-276.97073487	-0.00241933
-276.93737846	-0.00254166
-276.90402205	-0.00258845
-276.87066564	-0.00352949
-276.83730923	-0.00278924
-276.80395282	-0.00324738
-276.77059641	-0.00341803
-276.73724000	-0.00264112
-276.70388359	-0.00320757
-276.67052718	-0.00298461
-276.63717077	-0.00209980
-276.60381436	-0.00144116
-276.57045795	-0.00154700
-276.53710154	-0.00256122
-276.50374513	-0.00308192
-276.47038872	-0.00239269
-276.43703232	-0.00215926
-276.40367591	-0.00181898
-276.37031950	-0.00324790
-276.33696309	-0.00315182
-276.30360668	-0.00333403
-276.27025027	-0.00238492
-276.23689386	-0.00256386
-276.20353745	-0.00235557
-276.17018104	-0.00279452
-276.13682463	-0.00261840
-276.10346822	-0.00256200
-276.07011181	-0.00153142
-276.03675540	-0.00298591
-276.00339899	-0.00218316
-275.97004258	-0.00208322
-275.93668617	-0.00261901
-275.90332976	-0.00269210
-275.86997335	-0.00309879
-275.83661694	-0.00255760
-275.80326053	-0.00292226
-275.76990412	-0.00262134
-275.73654772	-0.00271301
-275.70319131	-0.00156092
-275.66983490	-0.00222142
-275.63647849	-0.00201843
-275.60312208	-0.00307872
-275.56976567	-0.00239744
-275.53640926	-0.00226248
-275.50305285	-0.00336862
-275.46969644	-0.00264015
-275.43634003	-0.00333398
-275.40298362	-0.00294907
-275.36962721	-0.00157156
-275.33627080	-0.00282876
-275.30291439	-0.00410462
-275.26955798	-0.00288942
-275.23620157	-0.00336033
-275.20284516	-0.00231124
-275.16948875	-0.00358555
-275.13613234	-0.00224715
-275.10277593	-0.00275988
-275.06941952	-0.00266123
-275.03606312	-0.00328687
-275.00270671	-0.00280161
-274.96935030	-0.00282416
-274.93599389	-0.00246091
